Name,ClassName,Type,Description,Solution,Image Link,Plant Name
"Bệnh u sưng lá Xoài (Muỗi hành)",Mango_Gall_Midge,Côn trùng gây hại,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh u sưng lá xoài (Mango Gall Midge) làm giảm nghiêm trọng khả năng quang hợp và thẩm mỹ của lá. Bệnh do loài côn trùng thuộc họ Muỗi hành gây ra, tạo thành các nốt sần sùi chi chít trên mặt lá.</p><h3>Tác nhân gây hại</h3><ul><li><strong>Tên khoa học:</strong> <em>Procontarinia</em> spp. (Thuộc bộ Hai cánh - Diptera).</li></ul><h3>Triệu chứng điển hình</h3><ul><li><strong>Trên lá:</strong> Xuất hiện vô số các nốt u sần (mụn cóc) hình tròn hoặc bầu dục. Ban đầu nốt u màu xanh, sau chuyển sang vàng và nâu đen.</li><li><strong>Cấu trúc:</strong> Bên trong mỗi nốt u là một ấu trùng muỗi đang sinh sống. Khi muỗi vũ hóa bay ra, nốt u khô lại và thủng lỗ.</li><li><strong>Tác hại:</strong> Lá bị biến dạng, cong queo, khô sớm và rụng, ảnh hưởng đến đợt ra lộc.</li></ul></div>","1. Biện pháp canh tác:<br>- Tỉa bỏ và tiêu hủy các cành lá bị nhiễm nặng để diệt ấu trùng bên trong.<br>- Vệ sinh vườn sạch sẽ, xới đất quanh gốc để diệt nhộng.<br><br>2. Biện pháp hóa học:<br>- Phun thuốc ngay khi cây vừa ra đọt non (thời điểm thành trùng đẻ trứng).<br>- Hoạt chất thấm sâu/lưu dẫn: <strong>Imidacloprid</strong>, <strong>Thiamethoxam</strong>, <strong>Dimethoate</strong> hoặc <strong>Cypermethrin</strong>.<br>- Có thể rải thuốc hạt (Diazinon) xuống đất để diệt nhộng.","https://content.peat-cloud.com/thumbnails/mango-midge-mango-1556619773.jpg,https://www.shutterstock.com/image-photo/mango-leaves-infected-by-pestmango-260nw-1219081135.jpg,https://www.greenlife.co.ke/wp-content/uploads/2022/04/greenlife_post_mango_anthracnose.jpg",Xoài
"Bệnh virus đốm vòng Đu đủ",Papaya_Ringspot,Bệnh virus,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh đốm vòng (Papaya Ringspot Virus - PRSV) là bệnh hủy diệt số 1 trên cây đu đủ. Một khi cây nhiễm bệnh sẽ không thể chữa khỏi, chỉ có thể phòng ngừa lây lan.</p><h3>Tác nhân & Lây truyền</h3><ul><li><strong>Tác nhân:</strong> Papaya Ringspot Virus (PRSV).</li><li><strong>Vector:</strong> Do các loài rệp muội (Aphids) truyền từ cây bệnh sang cây khỏe. Cũng lây qua dao cắt, vết thương.</li></ul><h3>Triệu chứng đặc trưng</h3><ul><li><strong>Trên lá:</strong> Lá bị khảm (màu xanh đậm xen kẽ xanh nhạt), phiến lá biến dạng, co rút nhỏ lại như chân vịt.</li><li><strong>Trên thân/cuống:</strong> Xuất hiện các vết sọc ngắn màu xanh đậm dường như ""thấm nước"".</li><li><strong>Trên quả:</strong> Xuất hiện các vòng tròn đồng tâm (đốm vòng) rất đặc trưng. Quả sần sùi, vị nhạt, không bán được.</li></ul></div>","1. Biện pháp xử lý (Không có thuốc trị bệnh):<br>- <strong>Chặt bỏ và tiêu hủy</strong> (đốt) ngay lập tức những cây có dấu hiệu bệnh để tránh lây sang cả vườn.<br><br>2. Biện pháp phòng ngừa:<br>- Trồng giống kháng bệnh hoặc giống sạch bệnh.<br>- Quản lý côn trùng môi giới (Rệp): Phun các thuốc trừ rệp như <strong>Imidacloprid</strong>, <strong>Acetamiprid</strong>, <strong>Pymetrozin</strong>.<br>- Không trồng xen canh với bầu, bí, dưa (ký chủ phụ của virus).","https://agritech.tnau.ac.in/crop_protection/images/papaya/sym1.jpg,https://thumbs.dreamstime.com/b/papaya-ringspot-virus-disease-attack-leaves-viet-nam-188517795.jpg,https://thumbs.dreamstime.com/b/papaya-ringspot-virus-papaya-leaves-viet-nam-papaya-ringspot-virus-disease-attack-papaya-leaves-viet-nam-188517891.jpg",Đu đủ
"Bệnh đốm đen lá Chuối (Sigatoka đen)",Banana_Black_Sigatoka,Bệnh nấm,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh Sigatoka đen là bệnh hại lá nguy hiểm nhất trên chuối thương phẩm toàn cầu, gây cháy lá hàng loạt, làm buồng chuối nhỏ và quả chín ép.</p><h3>Tác nhân gây bệnh</h3><ul><li><strong>Nấm:</strong> <em>Pseudocercospora fijiensis</em> (tên cũ <em>Mycosphaerella fijiensis</em>).</li></ul><h3>Triệu chứng phân biệt</h3><ul><li><strong>Giai đoạn đầu:</strong> Xuất hiện các sọc nhỏ màu nâu đỏ hoặc nâu gỉ sắt chạy song song với gân phụ của lá (mặt dưới lá).</li><li><strong>Giai đoạn sau:</strong> Các vết bệnh lan rộng, liên kết với nhau biến thành màu đen, mép viền vàng, làm cả tàu lá bị cháy khô và gục xuống.</li><li>Bệnh phát triển nhanh hơn và tàn phá mạnh hơn Sigatoka vàng.</li></ul></div>","1. Biện pháp canh tác:<br>- Cắt bỏ lá bệnh (tỉa lá) thường xuyên để giảm nguồn lây. Hệ thống thoát nước tốt để giảm độ ẩm.<br><br>2. Biện pháp hóa học:<br>- Đây là bệnh kháng thuốc rất nhanh, cần luân phiên hoạt chất.<br>- Nhóm Triazoles: <strong>Propiconazole</strong>, <strong>Difenoconazole</strong>, <strong>Tebuconazole</strong>.<br>- Nhóm Strobilurins: <strong>Azoxystrobin</strong>, <strong>Pyraclostrobin</strong>.<br>- Thuốc tiếp xúc: <strong>Mancozeb</strong>, <strong>Chlorothalonil</strong> (dùng xen kẽ để ngừa kháng thuốc).","https://upload.wikimedia.org/wikipedia/commons/4/42/Black_Leaf_Streak.jpg,https://www.agrobiotop.com/wp-content/uploads/2024/12/cercosporiose-noire-bananier-black-sigatoka.webp,https://plantwiseplusknowledgebank.org/cms/10.1079/pwkb.20197800244/asset/05d89b60-5f45-489e-b33b-413b83178fdb/assets/graphic/banana-black-sigatoka-malawi-2.jpg",Chuối
"Bệnh khảm lá Đu đủ",Papaya_Mosaic,Bệnh virus,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh khảm (Mosaic) gây ra hiện tượng lá lốm đốm, cây còi cọc và giảm năng suất nghiêm trọng. Thường dễ nhầm lẫn với bệnh đốm vòng nhưng triệu chứng trên quả khác biệt.</p><h3>Tác nhân gây bệnh</h3><ul><li><strong>Virus:</strong> Papaya Mosaic Virus (PapMV).</li><li><strong>Lây lan:</strong> Chủ yếu qua tiếp xúc cơ giới (dụng cụ làm vườn, tay người chạm vào cây bệnh rồi chạm cây khỏe) và rệp.</li></ul><h3>Triệu chứng nhận diện</h3><ul><li><strong>Trên lá:</strong> Lá có các mảng màu xanh đậm và xanh nhạt loang lổ (khảm). Lá non thường bị nhỏ, biến dạng.</li><li><strong>Trên cây:</strong> Cây sinh trưởng chậm, còi cọc (lùn), lá ở ngọn thường mọc chụm lại.</li><li><strong>Khác biệt với Ringspot:</strong> Bệnh khảm thường không gây ra các đốm vòng tròn trên quả.</li></ul></div>","1. Biện pháp canh tác:<br>- Vệ sinh dụng cụ (dao, kéo) bằng cồn hoặc xà phòng trước khi cắt tỉa.<br>- Nhổ bỏ và tiêu hủy cây bệnh.<br><br>2. Quản lý môi giới:<br>- Kiểm soát rệp bằng bẫy dính màu vàng hoặc phun thuốc trừ rệp (<strong>Thiamethoxam, Clothianidin</strong>).<br>- Tăng cường sức đề kháng cho cây bằng phân bón lá vi lượng và hữu cơ sinh học.","https://content.peat-cloud.com/w400/papaya-mosaic-virus-papaya-1580124005.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764606026/image_10_aug_3_rmrq77.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764606028/image_7_aug_2_uhvc6f.jpg",Đu đủ
"Cây chè khỏe mạnh",Tea_Healthy,Cây khỏe,"<div><h2>Mô tả trạng thái cây</h2><p>Cây chè (trà) khỏe mạnh cho năng suất búp cao, chất lượng hương vị tốt.</p><h3>Đặc điểm hình thái</h3><ul><li><strong>Búp chè:</strong> Búp non mập, màu xanh nõn chuối hoặc xanh lục (tùy giống), lông tuyết mịn rõ ràng (đối với chè Shan tuyết).</li><li><strong>Lá:</strong> Lá bánh tẻ xanh đậm, bóng, mép răng cưa đều, không có vết cháy, đốm đỏ hay vết phồng rộp.</li><li><strong>Thân cành:</strong> Phân cành đều, tán rộng, không bị rêu mốc hay nấm hồng bao phủ.</li></ul></div>","Duy trì canh tác:<br>1. Thu hái: Hái đúng kỹ thuật (1 tôm 2 lá), chừa lại lá cá để nuôi cây.<br>2. Dinh dưỡng: Bón đủ Đạm (để ra búp) nhưng cân đối với Kali và Lân. Bón phân hữu cơ ít nhất 1 lần/năm.<br>3. Tạo tán: Đốn phớt hàng năm để kích thích ra búp mới.","https://res.cloudinary.com/dzstqe0re/image/upload/v1764606200/20220101_090027_s1lzyt.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764606202/20220101_090010_bt2qlc.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764606204/20220101_085922_jda4xu.jpg",Chè
"Bệnh xoăn lá Đu đủ",Papaya_Curl,Bệnh virus,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh xoăn lá (Leaf Curl) khiến lá đu đủ co rúm, cây không phát triển được, thường dẫn đến mất trắng.</p><h3>Tác nhân & Lây truyền</h3><ul><li><strong>Tác nhân:</strong> Papaya Leaf Curl Virus (PaLCV).</li><li><strong>Vector truyền bệnh:</strong> Bọ phấn trắng (<em>Bemisia tabaci</em>) là môi giới chính truyền virus này.</li></ul><h3>Triệu chứng điển hình</h3><ul><li><strong>Lá:</strong> Lá bị xoăn tít, co rúm lại, viền lá cong vào trong hoặc cuộn xuống dưới. Gân lá sưng to và xanh đậm, trong khi phiến lá vàng hoặc xanh nhạt.</li><li><strong>Cây:</strong> Cây bị lùn (stunted), các đốt thân ngắn lại, hoa thường rụng, nếu đậu quả thì quả nhỏ và méo mó.</li></ul></div>","1. Xử lý cây bệnh:<br>- Không thể chữa khỏi. Cần nhổ bỏ cây bệnh ngay lập tức và rắc vôi bột xử lý đất.<br><br>2. Phòng trừ Bọ phấn trắng (Vector):<br>- Sử dụng bẫy dính màu vàng để bẫy bọ phấn.<br>- Phun các thuốc đặc trị rầy rệp/bọ phấn: <strong>Dinotefuran</strong>, <strong>Pymetrozine</strong>, <strong>Spirotetramat</strong> hoặc <strong>Abamectin</strong>.<br>- Che phủ luống trồng bằng màng phủ nilon phản quang để xua đuổi côn trùng.","https://content.peat-cloud.com/thumbnails/papaya-leaf-curl-virus-papaya-1667559705.jpg,https://plantvillage-production-new.s3.amazonaws.com/images/pics/000/101/075/original/PLC.jpg,https://static.agrostar.in/static/Feeds_Tip_20191228_Prevention-of--leaf-curl-virus-in-papaya_Hindi.jpg",Đu đủ
"Bệnh đốm đỏ/Tảo đỏ chè",Tea_Red_Spot,Bệnh tảo,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh đốm đỏ hay còn gọi là bệnh Tảo đỏ (Red Rust), do một loại tảo ký sinh gây ra chứ không phải nấm. Bệnh phổ biến trên các vườn chè già cỗi, chăm sóc kém.</p><h3>Tác nhân gây bệnh</h3><ul><li><strong>Tảo:</strong> <em>Cephaleuros virescens</em> (hoặc <em>Cephaleuros parasiticus</em>).</li></ul><h3>Triệu chứng nhận diện</h3><ul><li><strong>Trên lá già:</strong> Xuất hiện các đốm hình tròn màu cam hoặc đỏ gạch. Bề mặt vết bệnh có lớp nhung mịn (cơ quan sinh sản của tảo).</li><li><strong>Trên cành:</strong> Vết bệnh bao quanh cành làm cành khô, nứt nẻ, cây sinh trưởng kém, búp thưa.</li></ul><h3>Điều kiện phát sinh</h3><p>Vườn chè ẩm thấp, trồng quá dày, thiếu ánh sáng và cây thiếu dinh dưỡng (đặc biệt là Kali).</p></div>","1. Biện pháp canh tác:<br>- Đốn tỉa các cành già, cành bệnh để tạo độ thông thoáng.<br>- Bón tăng cường Kali và Lân để cây cứng cáp, tăng sức đề kháng.<br><br>2. Biện pháp hóa học:<br>- Tảo đỏ rất mẫn cảm với thuốc gốc Đồng.<br>- Phun các loại thuốc: <strong>Copper Oxychloride (Cốc 85)</strong>, <strong>Bordeaux (Boóc-đô) 1%</strong>, hoặc <strong>Copper Hydroxide</strong>.<br>- Phun ướt đều lên cả cành và lá già.","https://res.cloudinary.com/dzstqe0re/image/upload/v1764606459/20211227_165009_vfncbf.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764606461/20211227_160346_jmkqyy.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764606465/20211227_160158_li84gb.jpg",Chè
"Bệnh nhện đỏ hại Đu đủ",Papaya_Mite_disease,Côn trùng gây hại,"<div><h2>Tổng quan côn trùng</h2><p>Nhện đỏ (Mites) là đối tượng gây hại nguy hiểm trong mùa nắng nóng. Do kích thước rất nhỏ nên nông dân thường phát hiện muộn khi lá đã vàng.</p><h3>Tác nhân gây hại</h3><ul><li><strong>Tên khoa học:</strong> <em>Tetranychus</em> spp. (Nhện đỏ) hoặc <em>Polyphagotarsonemus latus</em> (Nhện trắng).</li></ul><h3>Triệu chứng điển hình</h3><ul><li><strong>Trên lá:</strong> Mặt trên lá xuất hiện các chấm vàng li ti lốm đốm (do nhện chích hút diệp lục). Mặt dưới lá có thể thấy lớp tơ mỏng. Lá bị nặng sẽ vàng khô và rụng.</li><li><strong>Kiểm tra:</strong> Soi kính lúp hoặc rũ nhẹ lá lên tờ giấy trắng sẽ thấy những chấm nhỏ xíu di chuyển nhanh.</li></ul></div>","1. Biện pháp sinh học:<br>- Bảo vệ thiên địch (bọ rùa, bọ trĩ ăn thịt).<br>- Phun nước áp lực mạnh lên tán lá để rửa trôi nhện.<br><br>2. Biện pháp hóa học:<br>- Nhện kháng thuốc rất nhanh, cần luân phiên thuốc.<br>- Thuốc trừ nhện đặc hiệu: <strong>Propargite</strong>, <strong>Fenpyroximate</strong>, <strong>Pyridaben</strong>, <strong>Abamectin</strong> hoặc dầu khoáng (Petroleum Spray Oil).<br>- Phun kỹ mặt dưới lá nơi nhện trú ẩn.","https://res.cloudinary.com/dzstqe0re/image/upload/v1764606555/image_9_aug_1_nrb0ue.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764606558/image_3_aug_2_j3cqwm.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764606560/image_1_aug_4_dvsu5b.jpg",Đu đủ
"Bệnh khô cành khô quả Cà phê (Phoma)",Coffee_Phoma,Bệnh nấm,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh do nấm Phoma (American Leaf Spot) gây ra, tấn công mạnh vào các bộ phận non, gây rụng lá, rụng quả hàng loạt, đặc biệt ở các vùng cao, lạnh và ẩm.</p><h3>Tác nhân gây bệnh</h3><ul><li><strong>Nấm:</strong> <em>Phoma costarricensis</em> (hoặc chi <em>Phoma</em> spp.).</li></ul><h3>Triệu chứng chi tiết</h3><ul><li><strong>Trên lá non:</strong> Các đốm đen bất định, nhăn nheo, lan rộng làm cháy mép lá hoặc biến dạng lá.</li><li><strong>Trên cành/chồi non:</strong> Vết bệnh lõm xuống, màu nâu đen bao quanh cành làm chết ngọn.</li><li><strong>Trên quả:</strong> Vết bệnh màu đen ăn sâu vào vỏ quả, làm quả non bị thối và rụng.</li></ul></div>","1. Biện pháp canh tác:<br>- Trồng cây che bóng hợp lý để giảm sương muối và gió lạnh (điều kiện nấm phát triển).<br>- Cắt bỏ các chồi, cành nhiễm bệnh đem đốt.<br><br>2. Biện pháp hóa học:<br>- Phun phòng vào đầu mùa mưa hoặc sau các đợt sương muối.<br>- Hoạt chất hiệu quả: <strong>Azoxystrobin</strong>, <strong>Difenoconazole</strong>, <strong>Chlorothalonil</strong> hoặc thuốc gốc Đồng (<strong>Copper Hydroxide</strong>).<br>- Các loại thuốc thương mại phổ biến: Amistar Top, Anvil, Daconil.","https://res.cloudinary.com/dzstqe0re/image/upload/v1764606652/17_xsgavz.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764606649/245_c1dtjn.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764606647/263_z5t8ox.jpg",Cà phê
"Cây ngô khỏe mạnh",Corn_Healthy,Cây khỏe,"<div><h2>Mô tả trạng thái cây</h2><p>Cây ngô (bắp) khỏe mạnh là nền tảng cho năng suất hạt cao, bắp to và đều hạt.</p><h3>Đặc điểm hình thái</h3><ul><li><strong>Lá:</strong> Lá dài, rộng bản, màu xanh đậm, gân lá giữa nổi rõ. Lá vươn thẳng hoặc cong đều, không bị rách, không có sọc vàng hay đốm nâu.</li><li><strong>Thân:</strong> Thân mập, lóng ngắn và đều, rễ chân kiềng phát triển mạnh giúp cây đứng vững.</li><li><strong>Bắp:</strong> Râu ngô tươi (giai đoạn phun râu), bao bắp kín, không bị sâu đục.</li></ul></div>","Duy trì canh tác:<br>1. Dinh dưỡng: Ngô rất phàm ăn. Bón lót phân chuồng, bón thúc NPK 3 đợt (khi 3-4 lá, khi xoáy nõn, khi phun râu).<br>2. Quản lý sâu bệnh: Sử dụng thuốc hạt rải vào loa kèn để phòng sâu đục thân (nếu cần). Làm cỏ sạch sẽ.<br>3. Tưới nước: Đủ ẩm giai đoạn trổ cờ phun râu.","https://thumbs.dreamstime.com/b/green-leaves-sweet-corn-garden-green-leaves-sweet-corn-garden-356606209.jpg,https://www.researchgate.net/profile/Md-Haque-165/publication/354688452/figure/fig1/AS:1069723160686592@1632053284465/Example-of-healthya-and-infectedb-corn-leaves-for-classification-and-disease.jpg,https://www.shutterstock.com/image-photo/agricultural-land-green-corn-farm-260nw-2341392925.jpg",Ngô
"Bệnh héo rũ vi khuẩn Chuối (Moko)",Banana_Moko,Bệnh vi khuẩn,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh Moko (Bacterial Wilt) là một trong những bệnh nguy hiểm nhất trên chuối, có mức độ tàn phá tương đương bệnh Panama nhưng lây lan nhanh hơn qua dụng cụ cắt tỉa.</p><h3>Tác nhân gây bệnh</h3><ul><li><strong>Vi khuẩn:</strong> <em>Ralstonia solanacearum</em> (Chủng race 2).</li></ul><h3>Triệu chứng đặc trưng</h3><ul><li><strong>Trên lá:</strong> Các lá non bị héo rũ, chuyển vàng và gục xuống trong khi cuống lá vẫn còn xanh.</li><li><strong>Trên buồng quả:</strong> Trái chuối chín ép, vỏ nứt toác, ruột bên trong bị thối đen cứng (thối khô) dù vỏ vẫn xanh hoặc vàng loang lổ.</li><li><strong>Bên trong thân:</strong> Khi cắt ngang thân giả, mạch dẫn bị biến màu thành các vòng tròn màu nâu hoặc đen, tiết ra dịch vi khuẩn màu trắng đục hoặc nâu.</li></ul></div>","1. Xử lý triệt để (Bắt buộc):<br>- Chặt bỏ toàn bộ cây bệnh và rắc vôi bột vào gốc để khử trùng đất.<br>- Tuyệt đối không vận chuyển chuối bệnh sang vùng khác.<br><br>2. Vệ sinh dụng cụ:<br>- Sát khuẩn dao cắt bằng Formol, thuốc tím hoặc hơ lửa sau mỗi lần cắt tỉa.<br><br>3. Phòng ngừa:<br>- Ngắt bỏ hoa đực (bắp chuối) sớm để ngăn côn trùng truyền bệnh vào cuống hoa.<br>- Sử dụng thuốc gốc Đồng (<strong>Copper Oxychloride</strong>) hoặc kháng sinh <strong>Streptomycin</strong>, <strong>Kasugamycin</strong> tưới gốc để hạn chế lây lan (hiệu quả thấp nếu cây đã bệnh nặng).","https://res.cloudinary.com/dzstqe0re/image/upload/v1764682299/aug_0_Augmented_Banana_Moko_Disease_31_lzgxr6.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764682282/aug_0_Augmented_Banana_Moko_Disease_281_gniouz.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764682279/aug_0_Augmented_Banana_Moko_Disease_5_tz7buk.jpg",Chuối
"Bệnh thán thư Xoài",Mango_Anthracnose,Bệnh nấm,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh thán thư (Anthracnose) xuất hiện phổ biến vào mùa mưa, gây hại trên cả lá, hoa và quả, làm giảm nghiêm trọng chất lượng xuất khẩu.</p><h3>Tác nhân gây bệnh</h3><ul><li><strong>Nấm:</strong> <em>Colletotrichum gloeosporioides</em>.</li></ul><h3>Triệu chứng nhận diện</h3><ul><li><strong>Trên lá:</strong> Các đốm nâu tròn hoặc góc cạnh, tâm xám trắng, viền nâu đậm, thường làm rách lá hoặc thủng lỗ.</li><li><strong>Trên hoa:</strong> Các chấm đen li ti trên cuống hoa và nụ, làm hoa khô đen và rụng hàng loạt (khô bông).</li><li><strong>Trên quả:</strong> Vết bệnh là các chấm đen lõm sâu vào thịt quả, lan rộng thành mảng lớn gây thối quả. Đặc trưng là vệt nước chảy đen (tear stain) từ cuống xuống.</li></ul></div>","1. Biện pháp canh tác:<br>- Tỉa cành tạo tán sau thu hoạch để vườn thông thoáng, khô ráo.<br>- Bao trái sớm để tránh nước mưa mang bào tử nấm tiếp xúc với vỏ trái.<br><br>2. Biện pháp hóa học (Đặc trị):<br>- Phun phòng vào giai đoạn ra hoa, đậu trái và trước thu hoạch.<br>- Các hoạt chất hiệu quả cao: <strong>Azoxystrobin</strong> (Amistar), <strong>Difenoconazole</strong> (Score), <strong>Propineb</strong> (Antracol) hoặc <strong>Carbendazim</strong>.<br>- Xử lý sau thu hoạch: Nhúng trái vào nước nóng 52°C có pha Benomyl trong 10 phút.","https://thumbs.dreamstime.com/z/anthracnose-disease-mango-leaf-caused-colletotrichum-gloeosporioides-white-background-279412223.jpg,https://omo-oss-image.thefastimg.com/portal-saas/pg2024041911260041575/cms/image/d3415691-9e7f-4381-b0b6-bf7b0b2029af.jpg,https://live.staticflickr.com/7397/12528091755_aac65b4469_b.jpg",Xoài
"Bệnh thán thư Đu đủ",Papaya_Anthracnose,Bệnh nấm,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh thán thư là nguyên nhân chính gây thối hỏng đu đủ sau thu hoạch, khiến quả không thể bảo quản lâu.</p><h3>Tác nhân gây bệnh</h3><ul><li><strong>Nấm:</strong> <em>Colletotrichum gloeosporioides</em>.</li></ul><h3>Triệu chứng điển hình</h3><ul><li><strong>Trên quả xanh:</strong> Vết bệnh ẩn, khó thấy.</li><li><strong>Trên quả chín:</strong> Xuất hiện các đốm tròn trũng xuống (lõm), ủng nước. Trên vết bệnh có lớp bào tử nấm màu hồng hoặc cam nhớt. Các đốm liên kết làm quả thối nhũn nhanh chóng.</li><li><strong>Trên lá/cuống:</strong> Đốm nâu nhỏ, lá vàng và rụng sớm.</li></ul></div>","1. Biện pháp canh tác:<br>- Thu hái nhẹ nhàng, tránh làm bầm dập vỏ quả.<br>- Tiêu hủy các lá và quả bị bệnh trong vườn.<br><br>2. Biện pháp hóa học:<br>- Phun thuốc định kỳ từ khi đậu quả đến trước thu hoạch 10 ngày.<br>- Hoạt chất: <strong>Mancozeb</strong>, <strong>Chlorothalonil</strong>, <strong>Azoxystrobin</strong> hoặc <strong>Thiophanate-methyl</strong>.<br>- Xử lý quả sau thu hoạch bằng nước nóng 48°C trong 20 phút.","https://res.cloudinary.com/dzstqe0re/image/upload/v1764682646/image_54_aug_5_yefhpo.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764682642/image_73_aug_5_nqyh6u.jpg,https://blog.plantwise.org/wp-content/uploads/sites/7/2022/06/1.jpg",Đu đủ
"Bệnh héo rũ Panama hại Chuối",Banana_Panama,Bệnh nấm,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh Panama (Fusarium Wilt) là ""ung thư"" của cây chuối, nấm tồn tại trong đất hàng chục năm, không thể tiêu diệt hoàn toàn.</p><h3>Tác nhân gây bệnh</h3><ul><li><strong>Nấm:</strong> <em>Fusarium oxysporum</em> f. sp. <em>cubense</em> (Đặc biệt là chủng TR4).</li></ul><h3>Triệu chứng phân biệt</h3><ul><li><strong>Bên ngoài:</strong> Lá già vàng trước, sau đó lan lên lá non. Các lá vàng gãy gập ở cuống, treo rủ quanh thân giả như ""váy đầm"". Cây chết đứng nhưng thân không đổ.</li><li><strong>Bên trong:</strong> Cắt ngang thân giả thấy các mạch dẫn bị hóa gỗ màu nâu đỏ hoặc tím tía, bốc mùi hôi nhẹ.</li><li><strong>Phân biệt với Moko:</strong> Moko có dịch vi khuẩn chảy ra, Panama thì khô hơn.</li></ul></div>","1. Phòng ngừa là chính (Chưa có thuốc đặc trị hiệu quả 100%):<br>- Sử dụng giống kháng bệnh (như nhóm Cavendish kháng TR4).<br>- Không dùng cây con từ vườn bệnh.<br><br>2. Biện pháp sinh học:<br>- Bón lót nấm đối kháng <strong>Trichoderma</strong> spp. ủ với phân chuồng để cạnh tranh với nấm bệnh trong đất.<br>- Sử dụng chế phẩm vi sinh <em>Streptomyces</em>.<br><br>3. Xử lý ổ dịch:<br>- Khoanh vùng, đào bỏ cây bệnh, rắc vôi và ngập nước để diệt nấm.","https://www.shutterstock.com/image-photo/yellow-sigatoka-leaf-spot-banana-600nw-1859915968.jpg,https://content.peat-cloud.com/w400/panama-disease-banana-1576510150.jpg,https://d2cbg94ubxgsnp.cloudfront.net/Pictures/1024x536/1/4/8/536148_panama_disease_high_resolution_043_698713_crop.jpg",Chuối
"Bệnh đốm lá lớn Ngô (Blight)",Corn_Blight,Bệnh nấm,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh đốm lá lớn (Northern Corn Leaf Blight) hay cháy lá, làm giảm diện tích quang hợp, hạt bị lép, năng suất giảm tới 30-50%.</p><h3>Tác nhân gây bệnh</h3><ul><li><strong>Nấm:</strong> <em>Exserohilum turcicum</em> (hoặc <em>Helminthosporium turcicum</em>).</li></ul><h3>Triệu chứng nhận diện</h3><ul><li><strong>Vết bệnh:</strong> Hình thoi dài (như điếu xì gà), màu xám bạc hoặc nâu nhạt. Kích thước vết bệnh lớn (dài 5-10cm).</li><li><strong>Vị trí:</strong> Xuất hiện trước ở các lá già dưới gốc, sau lan dần lên trên. Khi nặng, các vết liên kết làm toàn bộ lá khô cháy như bị luộc nước sôi.</li></ul></div>","1. Biện pháp canh tác:<br>- Luân canh với cây trồng khác họ (đậu, lúa) để cắt đứt nguồn bệnh.<br>- Vệ sinh đồng ruộng, cày vùi tàn dư sau thu hoạch.<br><br>2. Biện pháp hóa học:<br>- Phun khi vết bệnh chớm xuất hiện.<br>- Hoạt chất: <strong>Azoxystrobin</strong>, <strong>Difenoconazole</strong>, <strong>Propiconazole</strong> hoặc <strong>Mancozeb</strong>.<br>- Các sản phẩm thương mại: Amistar Top, Tilt Super, Nativo.","https://guide.utcrops.com/wp-content/uploads/2023/06/Northern-Corn-Leaf-Blight-1-e1687461214618.png,https://www.topcropmanager.com/wp-content/uploads/2019/01/d787d6a8ecc13dffeb9be21ae3e0e757.jpg,https://extension.umn.edu/sites/extension.umn.edu/files/northernleafblight2_600px.jpg",Ngô
